nohup: 忽略输入
2023-08-26 20:01:49.166119: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-26 20:01:49.625335: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/yanglj/Desktop/restoration/ECSC-Net/core/ECSCNet.py:53: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:80.)
  z = F.conv2d(z, D, stride=stride)
Iter 0.001K-> avg_loss: 0.0344, avg_psnr: 14.6342, cur_loss: 0.0344, cur_psnr: 14.6342, LR= 1.40000e-04, index: [532],
Iter 0.201K-> avg_loss: 0.0069, avg_psnr: 23.0148, cur_loss: 0.0021, cur_psnr: 26.8293, LR= 1.40000e-04, index: [3530],
Iter 0.401K-> avg_loss: 0.0055, avg_psnr: 23.7297, cur_loss: 0.0074, cur_psnr: 21.3053, LR= 1.40000e-04, index: [168],
Iter 0.601K-> avg_loss: 0.0049, avg_psnr: 24.2338, cur_loss: 0.0037, cur_psnr: 24.2703, LR= 1.40000e-04, index: [3564],
Iter 0.801K-> avg_loss: 0.0046, avg_psnr: 24.4436, cur_loss: 0.0041, cur_psnr: 23.8596, LR= 1.40000e-04, index: [1219],
Iter 1.001K-> avg_loss: 0.0045, avg_psnr: 24.6130, cur_loss: 0.0017, cur_psnr: 27.7156, LR= 1.40000e-04, index: [4090],
Iter 1.201K-> avg_loss: 0.0042, avg_psnr: 24.8466, cur_loss: 0.0066, cur_psnr: 21.8177, LR= 1.40000e-04, index: [813],
Iter 1.401K-> avg_loss: 0.0041, avg_psnr: 25.0274, cur_loss: 0.0025, cur_psnr: 26.0068, LR= 1.40000e-04, index: [850],
Iter 1.601K-> avg_loss: 0.0040, avg_psnr: 25.1243, cur_loss: 0.0015, cur_psnr: 28.1114, LR= 1.40000e-04, index: [1078],
Iter 1.801K-> avg_loss: 0.0039, avg_psnr: 25.2070, cur_loss: 0.0080, cur_psnr: 20.9733, LR= 1.40000e-04, index: [1538],
Iter 2.001K-> avg_loss: 0.0038, avg_psnr: 25.3069, cur_loss: 0.0015, cur_psnr: 28.1510, LR= 1.40000e-04, index: [2632],
Iter 2.201K-> avg_loss: 0.0037, avg_psnr: 25.3823, cur_loss: 0.0009, cur_psnr: 30.4124, LR= 1.40000e-04, index: [398],
Iter 2.401K-> avg_loss: 0.0037, avg_psnr: 25.4564, cur_loss: 0.0015, cur_psnr: 28.2556, LR= 1.40000e-04, index: [556],
Iter 2.601K-> avg_loss: 0.0036, avg_psnr: 25.5144, cur_loss: 0.0010, cur_psnr: 29.9505, LR= 1.40000e-04, index: [3174],
Iter 2.801K-> avg_loss: 0.0035, avg_psnr: 25.5714, cur_loss: 0.0022, cur_psnr: 26.5914, LR= 1.40000e-04, index: [1009],
Iter 3.001K-> avg_loss: 0.0035, avg_psnr: 25.6442, cur_loss: 0.0051, cur_psnr: 22.9507, LR= 1.40000e-04, index: [586],
Iter 3.201K-> avg_loss: 0.0034, avg_psnr: 25.6956, cur_loss: 0.0015, cur_psnr: 28.1526, LR= 1.40000e-04, index: [1695],
Iter 3.401K-> avg_loss: 0.0034, avg_psnr: 25.7169, cur_loss: 0.0018, cur_psnr: 27.4307, LR= 1.40000e-04, index: [4420],
Iter 3.601K-> avg_loss: 0.0034, avg_psnr: 25.7542, cur_loss: 0.0016, cur_psnr: 28.0686, LR= 1.40000e-04, index: [3675],
Iter 3.801K-> avg_loss: 0.0034, avg_psnr: 25.7758, cur_loss: 0.0019, cur_psnr: 27.3062, LR= 1.40000e-04, index: [1983],
Iter 4.001K-> avg_loss: 0.0033, avg_psnr: 25.8327, cur_loss: 0.0045, cur_psnr: 23.4318, LR= 1.40000e-04, index: [3301],
Iter 4.201K-> avg_loss: 0.0033, avg_psnr: 25.8643, cur_loss: 0.0022, cur_psnr: 26.5846, LR= 1.40000e-04, index: [3637],
Iter 4.401K-> avg_loss: 0.0033, avg_psnr: 25.8859, cur_loss: 0.0041, cur_psnr: 23.8449, LR= 1.40000e-04, index: [2277],
Iter 4.601K-> avg_loss: 0.0033, avg_psnr: 25.9100, cur_loss: 0.0047, cur_psnr: 23.2554, LR= 1.40000e-04, index: [942],
Iter 4.801K-> avg_loss: 0.0033, avg_psnr: 25.9367, cur_loss: 0.0052, cur_psnr: 22.8686, LR= 1.40000e-04, index: [3353],
Iter 5.001K-> avg_loss: 0.0032, avg_psnr: 25.9657, cur_loss: 0.0014, cur_psnr: 28.4118, LR= 1.40000e-04, index: [821],
training epoch    1 consumed time : 3.62min
test-> epoch:    1, avg_loss: 0.0032, avg_psnr: 25.6471, Time consumed:0.33min
-----------------------------------------------------------

Iter 5.177K-> avg_loss: 0.0009, avg_psnr: 30.6943, cur_loss: 0.0009, cur_psnr: 30.6943, LR= 1.40000e-04, index: [2460],
Iter 5.377K-> avg_loss: 0.0029, avg_psnr: 26.4048, cur_loss: 0.0008, cur_psnr: 30.7184, LR= 1.40000e-04, index: [617],
Iter 5.577K-> avg_loss: 0.0028, avg_psnr: 26.4878, cur_loss: 0.0041, cur_psnr: 23.8787, LR= 1.40000e-04, index: [1063],
Iter 5.777K-> avg_loss: 0.0028, avg_psnr: 26.5771, cur_loss: 0.0021, cur_psnr: 26.6873, LR= 1.40000e-04, index: [1824],
Iter 5.977K-> avg_loss: 0.0028, avg_psnr: 26.6488, cur_loss: 0.0032, cur_psnr: 24.9528, LR= 1.40000e-04, index: [4273],
Iter 6.177K-> avg_loss: 0.0027, avg_psnr: 26.7525, cur_loss: 0.0016, cur_psnr: 28.0897, LR= 1.40000e-04, index: [3139],
Iter 6.377K-> avg_loss: 0.0027, avg_psnr: 26.7209, cur_loss: 0.0022, cur_psnr: 26.5351, LR= 1.40000e-04, index: [4371],
Iter 6.577K-> avg_loss: 0.0027, avg_psnr: 26.7438, cur_loss: 0.0035, cur_psnr: 24.5714, LR= 1.40000e-04, index: [3976],
Iter 6.777K-> avg_loss: 0.0027, avg_psnr: 26.7438, cur_loss: 0.0022, cur_psnr: 26.6080, LR= 1.40000e-04, index: [1513],
Iter 6.977K-> avg_loss: 0.0027, avg_psnr: 26.7296, cur_loss: 0.0031, cur_psnr: 25.1451, LR= 1.40000e-04, index: [3546],
Iter 7.177K-> avg_loss: 0.0027, avg_psnr: 26.7394, cur_loss: 0.0011, cur_psnr: 29.7147, LR= 1.40000e-04, index: [1329],
Iter 7.377K-> avg_loss: 0.0027, avg_psnr: 26.7649, cur_loss: 0.0020, cur_psnr: 27.0193, LR= 1.40000e-04, index: [2651],
Iter 7.577K-> avg_loss: 0.0027, avg_psnr: 26.7833, cur_loss: 0.0028, cur_psnr: 25.5020, LR= 1.40000e-04, index: [4782],
